50	nPeriods
2000	0	Production_P_p
200	1	Inventory_H_h
117	388	dt_ct
193	312	dt_ct
151	361	dt_ct
36	258	dt_ct
116	208	dt_ct
0	312	dt_ct
100	355	dt_ct
28	392	dt_ct
152	307	dt_ct
15	292	dt_ct
155	323	dt_ct
191	221	dt_ct
62	284	dt_ct
138	305	dt_ct
16	386	dt_ct
70	377	dt_ct
186	394	dt_ct
156	274	dt_ct
72	206	dt_ct
94	278	dt_ct
123	319	dt_ct
73	205	dt_ct
195	358	dt_ct
62	253	dt_ct
194	367	dt_ct
3	356	dt_ct
92	210	dt_ct
63	269	dt_ct
10	335	dt_ct
146	215	dt_ct
158	365	dt_ct
178	238	dt_ct
137	232	dt_ct
42	363	dt_ct
56	309	dt_ct
101	223	dt_ct
101	234	dt_ct
168	256	dt_ct
170	287	dt_ct
102	229	dt_ct
88	283	dt_ct
45	212	dt_ct
30	205	dt_ct
149	229	dt_ct
60	312	dt_ct
41	331	dt_ct
111	217	dt_ct
30	359	dt_ct
23	280	dt_ct
168	360	dt_ct
