150	nPeriods
2000	0	Production_P_p
200	1	Inventory_H_h
131	279	dt_ct
137	357	dt_ct
31	314	dt_ct
114	240	dt_ct
123	337	dt_ct
60	231	dt_ct
8	293	dt_ct
96	336	dt_ct
134	321	dt_ct
137	302	dt_ct
142	339	dt_ct
131	347	dt_ct
155	316	dt_ct
198	250	dt_ct
110	326	dt_ct
0	246	dt_ct
57	281	dt_ct
0	336	dt_ct
171	322	dt_ct
54	217	dt_ct
130	368	dt_ct
161	213	dt_ct
23	388	dt_ct
97	352	dt_ct
67	252	dt_ct
186	232	dt_ct
136	244	dt_ct
138	230	dt_ct
34	283	dt_ct
177	338	dt_ct
124	285	dt_ct
71	378	dt_ct
143	202	dt_ct
172	374	dt_ct
156	242	dt_ct
1	339	dt_ct
123	299	dt_ct
196	275	dt_ct
84	265	dt_ct
80	333	dt_ct
83	240	dt_ct
107	271	dt_ct
57	217	dt_ct
1	260	dt_ct
189	327	dt_ct
21	227	dt_ct
113	364	dt_ct
16	342	dt_ct
9	301	dt_ct
18	275	dt_ct
126	391	dt_ct
109	227	dt_ct
112	253	dt_ct
50	300	dt_ct
91	311	dt_ct
43	318	dt_ct
128	368	dt_ct
63	398	dt_ct
13	364	dt_ct
132	266	dt_ct
135	292	dt_ct
54	394	dt_ct
82	320	dt_ct
110	327	dt_ct
195	224	dt_ct
78	299	dt_ct
109	246	dt_ct
152	228	dt_ct
7	275	dt_ct
86	238	dt_ct
55	317	dt_ct
29	356	dt_ct
32	361	dt_ct
59	275	dt_ct
95	323	dt_ct
143	323	dt_ct
28	328	dt_ct
7	251	dt_ct
83	388	dt_ct
12	328	dt_ct
65	300	dt_ct
115	202	dt_ct
140	362	dt_ct
37	395	dt_ct
68	257	dt_ct
141	228	dt_ct
14	252	dt_ct
17	317	dt_ct
55	295	dt_ct
186	313	dt_ct
140	241	dt_ct
110	316	dt_ct
120	269	dt_ct
93	346	dt_ct
192	388	dt_ct
64	302	dt_ct
40	304	dt_ct
85	251	dt_ct
48	351	dt_ct
87	274	dt_ct
1	394	dt_ct
163	289	dt_ct
50	305	dt_ct
189	268	dt_ct
151	317	dt_ct
113	363	dt_ct
40	394	dt_ct
61	312	dt_ct
56	343	dt_ct
83	363	dt_ct
68	372	dt_ct
13	204	dt_ct
163	214	dt_ct
145	380	dt_ct
77	369	dt_ct
188	304	dt_ct
172	387	dt_ct
171	282	dt_ct
23	305	dt_ct
148	350	dt_ct
182	336	dt_ct
187	295	dt_ct
167	378	dt_ct
104	324	dt_ct
191	300	dt_ct
54	242	dt_ct
4	352	dt_ct
15	334	dt_ct
127	211	dt_ct
106	295	dt_ct
79	388	dt_ct
47	294	dt_ct
32	248	dt_ct
193	332	dt_ct
27	239	dt_ct
82	286	dt_ct
119	356	dt_ct
125	375	dt_ct
149	382	dt_ct
164	258	dt_ct
49	230	dt_ct
73	227	dt_ct
60	356	dt_ct
26	273	dt_ct
118	386	dt_ct
5	305	dt_ct
129	253	dt_ct
163	242	dt_ct
17	364	dt_ct
162	385	dt_ct
